OEI001865 D16112022    WY19626987032315926342739938315617
NPI368071  R16112022    SD89328678180085931863241207958569
JWY633171  P16112022    QI06558122419654360625726621461271
CKH106271  R21112022    VW77725516496572826037718887123767
BDA460759  H13112022    TA79283066494593939466750831738270
PTD385770  M11112022    TM44333364247934536569249085221579
LRT219983  S21112022    NH02419213593099082684369735965234
CXL332781  E15112022    TA42234011789646305616545922129107
BJA948728  D10112022    ME06495039660595511202440299306950
PKD023633  C14112022    SU65593818746821179048224328093719
JHN988176  S21112022    FS57579764474973780251026595117723
FMY101927  B14112022    IX00929757929328964342730553079508
HQP043605  M18112022    WS04505945711581123267453158102268
SOJ021153  L21112022    FI44135302587708943929236709118785
DQT631823  Z10112022    CZ46820193127821356454339281092801
MEM795150  Z10112022    JS50139061487705749736779078499820
HGF352037  S14112022    WZ31502231286266550872590049637625
IOZ650119  S10112022    LO44117590696047449930325680598287
GUS702005  S21112022    FY72243552442301173680913721579260
ZCH263619  F20112022    ZJ63407993600175730505720566972471
SDJ863055  Q20112022    OK27971373466114256136256816188781
WUG241965  M16112022    ZV37654553694923220176028207728546
CDO453183  I10112022    SK68899043148926802128719104324422
BDE609523  P15112022    MM48391561113934274030373809113573
FXR519411  C10112022    JD57799474986198793488281521345907
RDO281713  Z16112022    NM38796641219884887601099119971925
UJK598752  U11112022    WH31537405205203475973533116593986
BNG409493  U21112022    HM97956622937644117526780993979577
KUY705453  L17112022    TQ71389162701181926211715121924135
YJR897439  L17112022    AF64048107088094758230506508612654
WNY860664  L19112022    DT66193927249866988468930112645025
BLY680960  C16112022    JB43692476452694052236954175502624
SKD799830  Q17112022    UA59358321624734601544613449475459
FVI583059  K11112022    WP67187310237336574123758096269076
BHU859712  Q10112022    ZC53169147879840726302362849778092
XJH130504  M19112022    UD03754939124297040879059903088767
QBG932390  V18112022    UO35701922340263749590394583858550
PNE137948  Q13112022    QZ39716496924066272845246409350051
EQB464813  H10112022    QB65526579072540283226149466260104
LNX138409  Q20112022    ZP63508058900540818466145571709425
AQG117906  V12112022    KC31017523824787063330835906730763
QEB200798  S18112022    KS77421969903264520706677540812919
FNW995018  B16112022    SD72408591467892596086115510678563
IOI560369  L11112022    YY02270775596928355205983049921010
IRR745711  E19112022    KO16455668401426907529738728492299
WUH616719  S12112022    LE73389941787082797306223353542502
MKX104831  W13112022    ZZ73759466045147551517154957899333
NDL220975  G14112022    JU56170311570075471403242996309614
PQV947651  O11112022    YO26785976909994255295185684729193
ERQ931327  B12112022    HC03089241599183209828810881860603
NGU451249  W11112022    MS75446779149733600647528401365883
KAS477781  R19112022    MW98234338006733163488474941826105
FXE843552  T20112022    CS6793511950715a122733838019784421
XJF739008  W11112022    SL58741679137119460082087835067626
EPL196739  N21112022    EW46545075488132245193169405132987
LNS227292  S17112022    EH04004864054489967368963315197968
DMM558252  U14112022    XL79806929714120318825398656811855
VRB302484  N11112022    CY55607285569543744447599311653906
SKV241382  A13112022    XO82508443333809101806593429763141
MRZ121113  R17112022    YG09798320242350993630737625408087
LEA743268  Q14112022    RL20141240464088832058934315181570
FOC110555  Q17112022    TV53250255826222539692192367110929
WYG984177  C12112022    ZS97682665762819847998052947106180
SDR156666  H15112022    DV12653540741201329659065912137019
EFL496330  A10112022    GR82128946162969770245156413648037
SGH777999  U17112022    IV76353505191330363325258197481590
FVV488309  Q10112022    XU75098780838136804330100932582555
NJG234021  I14112022    KG12660294347480014401936607591427
XLI216656  V17112022    SN76634176489222912160922379449664
YJC179757  G17112022    LG06315066321225317030221377883535
FYU893760  E16112022    UF93655628077437284327743535882872
